k,num_removed_kmers,paper_limit,paper_title,paper_id,best_candidate_id,2nd_best_candidate_id,query_time,ratio,hashmap_build_time,average_success_rate,average_query_time
3,50,60000000000000000,Quick Block Transport System for Scalable Hyperledger Fabric Blockchain Over D2D-Assisted 5G Networks.,journals/tnsm/KimNSP22,journals/tnsm/KimNSP22,conf/icc/KimLPL21,8.720252275466919,"(95, '-', 40)",549.809070110321,Match,-
3,50,60000000000000000,Task-Oriented and Imitation-Oriented Movements in Virtual Reality Exercise Performance and Design.,journals/hf/ChenC23,journals/hf/ChenC23,conf/vr/DoradoFCMH19,9.413631677627563,"(81, '-', 38)",549.809070110321,Match,-
3,50,60000000000000000,refineD: improved protein structure refinement using machine learning based restrained relaxation.,journals/bioinformatics/Bhattacharya19,journals/bioinformatics/Bhattacharya19,journals/bioinformatics/MagnanB14,8.919530868530273,"(86, '-', 46)",549.809070110321,Match,-
3,50,60000000000000000,A Tale of Two Deterrents: Considering the Role of Absolute and Restrictive Deterrence to Inspire New Directions in Behavioral and Organizational Security Research.,journals/jais/WillisonLP18,journals/jais/WillisonLP18,journals/ijkm/SadeghKM18,14.006285667419434,"(133, '-', 47)",549.809070110321,Match,-
3,50,60000000000000000,River Temperature Forecasting: A Coupled-Modeling Framework for Management of River Habitat.,journals/staeors/DannerMPHMRCDLN12,journals/staeors/DannerMPHMRCDLN12,conf/icsoft/PloskasBZDW08,8.792633771896362,"(72, '-', 33)",549.809070110321,Match,-
3,50,60000000000000000,Polynomial-time Construction of Optimal Tree-structured Communication Data Layout Descriptions.,journals/corr/GanianKST15,journals/corr/GanianKST15,conf/ilp/SuzukiISMU02,9.166237592697144,"(84, '-', 44)",549.809070110321,Match,-
3,50,60000000000000000,Automatic Sign Reading and Localization for Semantic Mapping with an Office Robot.,journals/corr/abs-2209-11432,journals/corr/abs-2209-11432,conf/icra/MillerSCS022,6.994266748428345,"(52, '-', 26)",549.809070110321,Match,-
3,50,60000000000000000,On the Performance of Non-Terrestrial Networks to Support the Internet of Things.,journals/corr/abs-2212-01614,journals/corr/abs-2212-01614,conf/acssc/WangTGAZ22,8.796026945114136,"(59, '-', 59)",549.809070110321,Match,-
3,50,60000000000000000,A General Framework for Biclustering Gene Expression Data.,journals/jbcb/LiCZJ06,journals/jbcb/LiCZJ06,journals/tcbb/XuOHZ18,5.988817453384399,"(48, '-', 38)",549.809070110321,Match,-
3,50,60000000000000000,The Effects of Environmental Factors on the Efficiency of Clinical Commissioning Groups in England: A Data Envelopment Analysis.,journals/jms/TakundwaJMP17,journals/jms/TakundwaJMP17,conf/cis/DuanDC08,12.013529777526855,"(109, '-', 49)",549.809070110321,Match,-
3,50,60000000000000000,Autosate.,journals/cacm/Gatto64,journals/software/Honekamp09,conf/iva/CaiGQHG16,0.487987756729126,"(8, '-', 7)",549.809070110321,NOT MATCH,-
3,50,60000000000000000,Characterisation of Bijectivity Preserving Componentwise Modification of S-Boxes.,journals/iacr/Nyberg22a,journals/iacr/Nyberg22a,journals/jucs/BeckerRHST08,6.854258060455322,"(53, '-', 27)",549.809070110321,Match,-
